delivery_id,order_id,delivery_person_id,delivery_status,distance,delivery_time,estimated_time,delivery_fee,vehicle_type,delay_minutes,sla_breach_flag,distance_tier
72,863,7,On the way,42.05,58,45,36.79,Bike,13,Breached,Long Distance
73,412,421,Pending,41.15,46,59,42.53,Bike,0,Within SLA,Long Distance
74,460,384,On the way,43.08,30,38,39.48,Scooter,0,Within SLA,Long Distance
75,1439,348,On the way,20.02,48,37,21.54,Electric Scooter,11,Breached,Long Distance
76,458,215,Cancelled,41.28,25,66,0.86,Motorcycle,0,Within SLA,Long Distance
77,862,173,Cancelled,46.31,36,57,49.18,Moped,0,Within SLA,Long Distance
78,699,137,On the way,13.57,19,26,2.86,Bike,0,Within SLA,Medium Distance
79,339,38,Cancelled,43.12,15,26,46.74,Scooter,0,Within SLA,Long Distance
80,1367,287,On the way,42.45,34,29,22.5,Motorcycle,5,Within SLA,Long Distance
81,1060,311,Delivered,42.57,16,45,33.55,Scooter,0,Within SLA,Long Distance
82,366,60,Pending,38.16,37,31,13.8,Electric Bike,6,Breached,Long Distance
83,157,71,On the way,26.36,60,60,8.15,Electric Scooter,0,Within SLA,Long Distance
84,484,91,Pending,17.31,53,63,10.72,Motorcycle,0,Within SLA,Medium Distance
85,637,201,On the way,3.77,28,22,19.74,Electric Bike,6,Breached,Short Distance
86,1486,169,Pending,3.05,60,28,49.03,Motorcycle,32,Breached,Short Distance
87,658,330,On the way,45.11,38,32,9.9,Moped,6,Breached,Long Distance
88,1130,77,Delivered,7.86,53,37,30.71,Scooter,16,Breached,Medium Distance
89,1092,410,Pending,28.58,44,53,35.39,Electric Scooter,0,Within SLA,Long Distance
90,1415,454,Cancelled,42.6,40,44,42.17,Bike,0,Within SLA,Long Distance
91,85,312,On the way,29.59,37,66,5.5,Scooter,0,Within SLA,Long Distance
92,389,492,Delivered,21.17,47,26,39.86,Scooter,21,Breached,Long Distance
93,1374,165,On the way,14.26,38,33,9.7,Scooter,5,Within SLA,Medium Distance
94,764,41,Pending,16.38,60,28,1.64,Motorcycle,32,Breached,Medium Distance
95,1128,205,On the way,31.05,46,61,4.23,Electric Scooter,0,Within SLA,Long Distance
96,69,412,Delivered,2.66,19,63,23.64,Electric Scooter,0,Within SLA,Short Distance
97,763,479,On the way,49.08,44,53,25.86,Motorcycle,0,Within SLA,Long Distance
98,1039,42,On the way,13.07,28,48,46.47,Bike,0,Within SLA,Medium Distance
99,1060,218,On the way,28.83,44,30,45.82,Bike,14,Breached,Long Distance
100,565,396,On the way,20.44,49,45,44.14,Scooter,4,Within SLA,Long Distance
101,471,264,Cancelled,7.34,41,34,4.22,Bike,7,Breached,Medium Distance
102,1058,89,On the way,31,48,60,13.22,Scooter,0,Within SLA,Long Distance
103,108,223,Delivered,47.18,48,21,18.78,Scooter,27,Breached,Long Distance
104,395,80,Delivered,43.05,21,27,16.53,Bike,0,Within SLA,Long Distance
105,342,329,Pending,20.66,43,35,35.07,Electric Bike,8,Breached,Long Distance
106,1199,231,Pending,21.64,52,59,33.12,Scooter,0,Within SLA,Long Distance
107,795,44,Delivered,24.14,55,54,8.43,Electric Scooter,1,Within SLA,Long Distance
108,1364,360,Pending,8.74,43,49,33.86,Motorcycle,0,Within SLA,Medium Distance
109,1166,123,Cancelled,19.14,17,55,18.14,Electric Scooter,0,Within SLA,Medium Distance
110,949,196,On the way,45.82,58,55,6.98,Motorcycle,3,Within SLA,Long Distance
111,250,18,Delivered,39.51,53,40,30.2,Scooter,13,Breached,Long Distance
112,988,388,Pending,1.63,54,60,12.55,Electric Scooter,0,Within SLA,Short Distance
113,244,33,Delivered,18.7,32,24,43.46,Bike,8,Breached,Medium Distance
114,167,125,On the way,25.32,20,38,28.55,Motorcycle,0,Within SLA,Long Distance
115,1466,199,Cancelled,32.27,50,26,32.19,Moped,24,Breached,Long Distance
116,997,451,Pending,45.87,52,36,23.95,Scooter,16,Breached,Long Distance
117,17,120,Cancelled,16.35,25,46,4.07,Motorcycle,0,Within SLA,Medium Distance
118,1079,108,Delivered,35.87,48,51,22.34,Electric Bike,0,Within SLA,Long Distance
119,395,468,Delivered,20.14,16,65,7.73,Electric Scooter,0,Within SLA,Long Distance
120,281,463,Delivered,44.11,22,32,19.57,Electric Bike,0,Within SLA,Long Distance
121,1344,274,Cancelled,11.62,17,56,29.28,Electric Bike,0,Within SLA,Medium Distance
122,908,53,On the way,6.73,28,30,9.93,Scooter,0,Within SLA,Medium Distance
123,885,69,Pending,23.4,45,34,3.51,Scooter,11,Breached,Long Distance
124,421,159,Pending,36.46,36,27,17.56,Moped,9,Breached,Long Distance
125,733,188,Cancelled,2.57,50,34,24.98,Electric Bike,16,Breached,Short Distance
126,230,254,Cancelled,17.95,25,34,26.26,Scooter,0,Within SLA,Medium Distance
127,681,464,Cancelled,18.83,31,45,3.4,Scooter,0,Within SLA,Medium Distance
128,354,333,Delivered,42,28,31,43.38,Electric Bike,0,Within SLA,Long Distance
129,1131,101,Delivered,31.92,23,22,47.13,Electric Bike,1,Within SLA,Long Distance
130,1181,348,Cancelled,37.33,24,57,12.66,Electric Scooter,0,Within SLA,Long Distance
131,1481,257,Delivered,8.06,50,62,42.75,Electric Scooter,0,Within SLA,Medium Distance
132,1108,70,Delivered,11.01,30,30,1.09,Scooter,0,Within SLA,Medium Distance
133,1177,212,Delivered,33.61,23,30,41.55,Electric Bike,0,Within SLA,Long Distance
134,415,39,On the way,28.62,37,64,17.37,Scooter,0,Within SLA,Long Distance
135,804,357,On the way,13.36,17,24,23.09,Moped,0,Within SLA,Medium Distance
136,1078,398,Cancelled,33.8,18,32,34.02,Scooter,0,Within SLA,Long Distance
137,323,335,Delivered,43.63,40,34,48.6,Electric Scooter,6,Breached,Long Distance
138,85,388,Cancelled,23.45,40,66,21.09,Scooter,0,Within SLA,Long Distance
139,670,244,Cancelled,49.78,38,51,31.4,Moped,0,Within SLA,Long Distance
140,658,72,Pending,41.53,21,38,9.53,Moped,0,Within SLA,Long Distance
141,186,238,Cancelled,35.73,35,34,16.79,Scooter,1,Within SLA,Long Distance
142,1179,221,Cancelled,44.58,48,49,19.22,Scooter,0,Within SLA,Long Distance
143,158,105,On the way,47.61,43,54,5.62,Bike,0,Within SLA,Long Distance
144,1229,338,Delivered,3.95,37,25,45.93,Bike,12,Breached,Short Distance
145,1156,424,Pending,47.62,59,44,3.16,Scooter,15,Breached,Long Distance
146,420,112,On the way,31.56,23,47,26.47,Motorcycle,0,Within SLA,Long Distance
147,995,101,Cancelled,23.98,55,70,22.67,Bike,0,Within SLA,Long Distance
148,1448,34,Delivered,48.67,42,61,43.64,Electric Bike,0,Within SLA,Long Distance
149,1223,233,Delivered,6.93,24,30,24.64,Electric Bike,0,Within SLA,Medium Distance
150,318,391,Delivered,41.42,33,49,33.81,Scooter,0,Within SLA,Long Distance
151,620,427,Delivered,2.19,24,23,19.87,Scooter,1,Within SLA,Short Distance
152,642,283,Pending,32.17,36,50,47.01,Electric Scooter,0,Within SLA,Long Distance
153,1476,431,Pending,20,30,30,27.29,Motorcycle,0,Within SLA,Long Distance
154,1429,73,On the way,22.72,37,23,19.61,Bike,14,Breached,Long Distance
155,1419,168,Delivered,25.76,52,20,39.18,Electric Bike,32,Breached,Long Distance
156,283,444,Cancelled,43.48,57,31,16.19,Electric Bike,26,Breached,Long Distance
157,284,471,Cancelled,41.24,52,69,13.06,Motorcycle,0,Within SLA,Long Distance
158,56,470,Cancelled,37.62,43,30,31.09,Electric Bike,13,Breached,Long Distance
159,36,355,Cancelled,28.6,21,39,0.79,Scooter,0,Within SLA,Long Distance
160,612,108,Delivered,40.19,58,54,3.86,Moped,4,Within SLA,Long Distance
161,183,17,Cancelled,3.16,33,64,4.29,Motorcycle,0,Within SLA,Short Distance
162,460,448,Pending,19.35,42,31,40.21,Scooter,11,Breached,Medium Distance
163,805,84,Pending,15.03,59,63,9.3,Electric Scooter,0,Within SLA,Medium Distance
164,858,44,On the way,21.8,58,47,27.45,Motorcycle,11,Breached,Long Distance
165,564,165,On the way,4.95,34,29,6.7,Electric Bike,5,Within SLA,Short Distance
166,224,379,On the way,37.43,22,57,16.94,Bike,0,Within SLA,Long Distance
167,1448,403,On the way,10.38,45,20,15.26,Electric Scooter,25,Breached,Medium Distance
168,517,186,Pending,27.68,42,21,8.63,Electric Bike,21,Breached,Long Distance
169,1403,85,On the way,15.9,40,68,21.51,Electric Scooter,0,Within SLA,Medium Distance
170,170,453,Cancelled,44.52,36,30,9.15,Scooter,6,Breached,Long Distance
171,1017,130,Pending,48.08,17,39,10.63,Motorcycle,0,Within SLA,Long Distance
172,482,329,Delivered,1.58,32,59,6.38,Electric Scooter,0,Within SLA,Short Distance
173,1395,112,On the way,8.52,48,44,30.44,Moped,4,Within SLA,Medium Distance
174,1186,6,Cancelled,21.01,20,27,16.49,Bike,0,Within SLA,Long Distance
175,31,249,On the way,19.43,36,31,27.32,Electric Bike,5,Within SLA,Medium Distance
176,1085,475,Cancelled,7.76,43,40,27.19,Electric Bike,3,Within SLA,Medium Distance
177,841,205,Cancelled,25.32,48,43,0.1,Moped,5,Within SLA,Long Distance
178,528,352,Pending,7.76,52,54,23.34,Scooter,0,Within SLA,Medium Distance
179,841,457,On the way,21.39,26,25,40.57,Electric Scooter,1,Within SLA,Long Distance
180,166,491,Delivered,48.05,56,55,26.55,Scooter,1,Within SLA,Long Distance
181,1489,471,Cancelled,47.14,44,48,26.49,Moped,0,Within SLA,Long Distance
182,977,301,Cancelled,29.87,15,34,41.7,Electric Bike,0,Within SLA,Long Distance
183,507,113,On the way,37.28,58,42,14.67,Bike,16,Breached,Long Distance
184,1151,426,Delivered,35.2,39,20,35.24,Motorcycle,19,Breached,Long Distance
185,1165,175,Delivered,19.95,55,24,44.93,Bike,31,Breached,Medium Distance
186,1456,220,On the way,6.72,58,55,31.45,Motorcycle,3,Within SLA,Medium Distance
187,1349,497,Cancelled,13.67,17,44,38.97,Electric Scooter,0,Within SLA,Medium Distance
188,1200,347,Pending,14.29,21,58,12.13,Bike,0,Within SLA,Medium Distance
189,126,7,On the way,13.86,48,39,21.29,Motorcycle,9,Breached,Medium Distance
190,705,48,On the way,10.02,35,27,46.93,Scooter,8,Breached,Medium Distance
191,1228,101,On the way,6.8,15,25,22.8,Motorcycle,0,Within SLA,Medium Distance
192,1089,199,Pending,34.81,45,44,14.84,Bike,1,Within SLA,Long Distance
193,960,322,Cancelled,19.97,28,66,43.46,Electric Bike,0,Within SLA,Medium Distance
194,799,74,On the way,47.49,48,22,13.37,Electric Bike,26,Breached,Long Distance
195,792,395,Delivered,26.34,15,68,11.5,Electric Bike,0,Within SLA,Long Distance
196,343,273,Delivered,20.04,32,60,26.81,Electric Bike,0,Within SLA,Long Distance
197,889,42,Delivered,6.76,15,57,28.38,Motorcycle,0,Within SLA,Medium Distance
198,316,45,On the way,19.4,54,24,10.73,Electric Scooter,30,Breached,Medium Distance
199,1181,127,Cancelled,14.82,45,59,1.71,Scooter,0,Within SLA,Medium Distance
200,541,79,On the way,10.12,40,38,6.96,Scooter,2,Within SLA,Medium Distance
201,476,339,Delivered,40.44,50,37,18.28,Electric Bike,13,Breached,Long Distance
202,1293,257,Delivered,29.15,17,39,7.95,Electric Scooter,0,Within SLA,Long Distance
203,1018,295,Pending,11.63,30,38,23.1,Motorcycle,0,Within SLA,Medium Distance
204,696,135,On the way,35.5,33,39,7.17,Electric Scooter,0,Within SLA,Long Distance
205,981,109,Cancelled,45.09,53,27,6.21,Electric Bike,26,Breached,Long Distance
206,580,222,Cancelled,41.06,19,32,48.58,Moped,0,Within SLA,Long Distance
207,1176,294,Pending,14.05,56,24,48.15,Moped,32,Breached,Medium Distance
208,1016,7,Cancelled,9.33,19,49,8.78,Electric Scooter,0,Within SLA,Medium Distance
209,2,378,Pending,17.21,50,54,32.94,Motorcycle,0,Within SLA,Medium Distance
210,804,214,Cancelled,38.42,50,25,20.81,Electric Bike,25,Breached,Long Distance
211,407,269,On the way,42.8,42,47,14.51,Electric Scooter,0,Within SLA,Long Distance
212,1368,154,Cancelled,9.4,45,70,13.89,Moped,0,Within SLA,Medium Distance
213,861,207,Delivered,5.61,19,60,48.15,Electric Bike,0,Within SLA,Medium Distance
214,670,205,Delivered,6.99,53,57,18.91,Moped,0,Within SLA,Medium Distance
215,781,167,On the way,9.67,54,24,36.67,Motorcycle,30,Breached,Medium Distance
216,1044,391,Pending,14.35,29,31,47.44,Bike,0,Within SLA,Medium Distance
217,1006,59,Pending,22.66,43,68,47.32,Electric Bike,0,Within SLA,Long Distance
218,400,101,Delivered,44.84,27,51,41.87,Electric Scooter,0,Within SLA,Long Distance
219,329,301,Cancelled,48.98,50,60,22.79,Moped,0,Within SLA,Long Distance
220,922,437,Pending,3.97,27,41,23.3,Electric Scooter,0,Within SLA,Short Distance
221,356,194,Cancelled,4.36,45,58,15.61,Motorcycle,0,Within SLA,Short Distance
222,691,412,On the way,24.95,52,44,43.07,Electric Scooter,8,Breached,Long Distance
223,1162,327,On the way,41.85,15,32,39.21,Motorcycle,0,Within SLA,Long Distance
224,1486,70,Delivered,38.7,43,40,11.09,Electric Bike,3,Within SLA,Long Distance
225,928,67,Delivered,35.68,41,50,34.02,Moped,0,Within SLA,Long Distance
226,1335,269,On the way,36.47,36,35,31.11,Motorcycle,1,Within SLA,Long Distance
227,891,185,Delivered,30.56,40,22,15.9,Electric Scooter,18,Breached,Long Distance
228,201,296,Pending,6.58,19,62,43.83,Scooter,0,Within SLA,Medium Distance
229,474,169,Pending,38.19,54,36,35.07,Moped,18,Breached,Long Distance
230,899,325,Delivered,9.56,44,60,13.69,Scooter,0,Within SLA,Medium Distance
231,1092,178,Pending,12.16,17,48,32.76,Motorcycle,0,Within SLA,Medium Distance
232,1491,86,Pending,7.58,27,45,29.83,Scooter,0,Within SLA,Medium Distance
233,829,92,On the way,10.8,33,44,33.32,Electric Scooter,0,Within SLA,Medium Distance
234,286,326,Pending,46.32,60,22,47.14,Bike,38,Breached,Long Distance
235,25,71,Pending,16.7,59,28,17.93,Bike,31,Breached,Medium Distance
236,468,416,Cancelled,24,16,34,36.88,Moped,0,Within SLA,Long Distance
237,1465,425,Pending,43.22,42,57,35,Scooter,0,Within SLA,Long Distance
238,673,293,Pending,8.25,39,32,47.57,Bike,7,Breached,Medium Distance
239,352,349,Pending,6.26,37,44,8.09,Motorcycle,0,Within SLA,Medium Distance
240,469,410,Delivered,6.9,46,48,32.11,Scooter,0,Within SLA,Medium Distance
241,1294,152,On the way,46.37,45,28,22.4,Electric Bike,17,Breached,Long Distance
242,136,218,Pending,16.23,52,59,17.71,Electric Bike,0,Within SLA,Medium Distance
243,162,493,Delivered,6.81,17,40,34.3,Electric Bike,0,Within SLA,Medium Distance
244,338,65,On the way,25.44,23,48,32.2,Motorcycle,0,Within SLA,Long Distance
245,316,263,Pending,17.96,15,29,30.77,Moped,0,Within SLA,Medium Distance
246,252,215,Cancelled,49.91,49,61,30.22,Motorcycle,0,Within SLA,Long Distance
247,1175,56,Cancelled,46.17,48,21,41.23,Bike,27,Breached,Long Distance
248,1336,401,Pending,19.71,22,69,37.83,Bike,0,Within SLA,Medium Distance
249,364,93,Delivered,31.98,32,64,0.06,Moped,0,Within SLA,Long Distance
250,214,134,Cancelled,47.42,24,64,27.79,Electric Scooter,0,Within SLA,Long Distance
251,283,139,Cancelled,25.2,44,22,16.59,Scooter,22,Breached,Long Distance
252,1188,483,Delivered,33.94,48,21,25.66,Electric Bike,27,Breached,Long Distance
253,190,183,On the way,12.91,22,37,32.87,Bike,0,Within SLA,Medium Distance
254,404,385,Cancelled,17.38,36,27,46.62,Electric Scooter,9,Breached,Medium Distance
255,524,50,On the way,26.99,25,51,48.72,Bike,0,Within SLA,Long Distance
256,798,111,Delivered,35.04,52,41,45.03,Electric Bike,11,Breached,Long Distance
257,1208,288,Pending,24.93,29,43,37.09,Motorcycle,0,Within SLA,Long Distance
258,89,100,Pending,14.49,28,47,41.04,Moped,0,Within SLA,Medium Distance
259,370,303,On the way,4.15,20,51,31.34,Electric Bike,0,Within SLA,Short Distance
260,198,53,On the way,38.27,53,59,33.61,Moped,0,Within SLA,Long Distance
261,864,375,Pending,21.26,45,20,7.25,Electric Bike,25,Breached,Long Distance
262,49,277,Cancelled,30.18,49,59,0.1,Scooter,0,Within SLA,Long Distance
263,725,218,Delivered,41.88,17,24,38.79,Electric Bike,0,Within SLA,Long Distance
264,1349,474,Cancelled,25.92,38,51,21.2,Bike,0,Within SLA,Long Distance
265,615,336,Delivered,33.7,33,39,49.73,Electric Bike,0,Within SLA,Long Distance
266,1218,262,Pending,30.51,17,36,8.16,Scooter,0,Within SLA,Long Distance
267,1258,483,Delivered,8.73,33,42,32.75,Moped,0,Within SLA,Medium Distance
268,231,183,On the way,24.24,46,61,41.38,Electric Bike,0,Within SLA,Long Distance
269,951,380,Pending,18.48,47,52,39.48,Moped,0,Within SLA,Medium Distance
270,1467,40,Pending,19.1,54,60,6.92,Electric Scooter,0,Within SLA,Medium Distance
271,559,98,Delivered,25.82,25,57,33.96,Electric Bike,0,Within SLA,Long Distance
272,1240,475,Delivered,33.5,16,30,34.41,Scooter,0,Within SLA,Long Distance
273,650,230,Cancelled,27.18,47,57,38.11,Scooter,0,Within SLA,Long Distance
274,1155,39,Cancelled,24.15,26,45,15.67,Scooter,0,Within SLA,Long Distance
275,8,415,Pending,7.45,56,48,33.92,Scooter,8,Breached,Medium Distance
276,1023,186,Pending,32.84,45,61,33.08,Moped,0,Within SLA,Long Distance
277,716,426,Cancelled,49.71,57,38,16.14,Bike,19,Breached,Long Distance
278,488,224,Cancelled,23.23,36,57,21.65,Motorcycle,0,Within SLA,Long Distance
279,94,19,Delivered,23.03,16,40,26.42,Bike,0,Within SLA,Long Distance
280,1432,391,On the way,14.69,33,25,49.67,Bike,8,Breached,Medium Distance
281,299,136,Cancelled,14.24,23,44,45.34,Electric Scooter,0,Within SLA,Medium Distance
282,225,168,Delivered,11.17,25,38,1.28,Scooter,0,Within SLA,Medium Distance
283,1416,441,Cancelled,32.51,19,50,32.39,Motorcycle,0,Within SLA,Long Distance
284,201,291,Pending,16.01,23,54,36.66,Motorcycle,0,Within SLA,Medium Distance
285,570,2,On the way,11.03,51,49,34.66,Moped,2,Within SLA,Medium Distance
286,1354,498,Cancelled,21.2,59,41,35.94,Bike,18,Breached,Long Distance
287,1204,137,Cancelled,11.26,18,65,22.87,Scooter,0,Within SLA,Medium Distance
288,1020,124,Pending,45.57,16,22,15.29,Motorcycle,0,Within SLA,Long Distance
289,100,200,On the way,49.04,50,60,0,Bike,0,Within SLA,Long Distance
290,966,490,Cancelled,40.26,40,67,14.2,Motorcycle,0,Within SLA,Long Distance
291,1043,476,Delivered,43.44,27,43,38.25,Electric Scooter,0,Within SLA,Long Distance
292,295,311,Cancelled,22.65,22,33,34.56,Scooter,0,Within SLA,Long Distance
293,126,388,Pending,42.76,15,34,38.24,Motorcycle,0,Within SLA,Long Distance
294,1280,258,Pending,45.96,31,36,9.83,Electric Bike,0,Within SLA,Long Distance
295,116,289,Pending,14.19,29,58,30.79,Electric Scooter,0,Within SLA,Medium Distance
296,1437,417,Delivered,4.69,17,53,46.89,Motorcycle,0,Within SLA,Short Distance
297,510,25,Pending,24.74,48,59,2.97,Bike,0,Within SLA,Long Distance
298,57,50,Pending,15.16,58,61,25.08,Moped,0,Within SLA,Medium Distance
299,903,357,On the way,47.33,44,60,41.94,Motorcycle,0,Within SLA,Long Distance
300,461,279,Pending,7.49,27,37,36,Electric Bike,0,Within SLA,Medium Distance
301,1069,364,Cancelled,36.29,57,53,26.76,Scooter,4,Within SLA,Long Distance
302,1134,216,Delivered,4.41,56,20,13.68,Electric Scooter,36,Breached,Short Distance
303,699,422,On the way,4.33,25,54,8.51,Electric Scooter,0,Within SLA,Short Distance
304,47,480,Cancelled,38.09,57,61,31.78,Electric Bike,0,Within SLA,Long Distance
305,1287,116,Pending,28.79,30,34,48.66,Bike,0,Within SLA,Long Distance
306,791,269,On the way,5.49,46,65,46.29,Electric Scooter,0,Within SLA,Medium Distance
307,209,494,Cancelled,9.92,16,64,0.13,Electric Scooter,0,Within SLA,Medium Distance
308,766,24,On the way,9.38,30,56,21.24,Electric Bike,0,Within SLA,Medium Distance
309,1122,411,Cancelled,8.47,16,36,18.41,Electric Scooter,0,Within SLA,Medium Distance
310,1249,373,Cancelled,33.01,46,36,42.48,Scooter,10,Breached,Long Distance
311,312,268,On the way,44.14,30,59,15.32,Electric Scooter,0,Within SLA,Long Distance
312,637,462,Pending,19.46,45,28,36.16,Motorcycle,17,Breached,Medium Distance
313,94,10,Cancelled,22.06,33,22,44.19,Electric Scooter,11,Breached,Long Distance
314,889,323,Pending,19.27,22,45,2.66,Moped,0,Within SLA,Medium Distance
315,719,389,Cancelled,46.41,42,33,18.65,Scooter,9,Breached,Long Distance
316,386,378,Cancelled,5.63,32,65,30.22,Bike,0,Within SLA,Medium Distance
317,1263,417,Delivered,21.69,43,58,4.85,Scooter,0,Within SLA,Long Distance
318,171,105,Delivered,43.38,27,68,6.01,Electric Bike,0,Within SLA,Long Distance
319,1005,251,Pending,33,43,60,49.51,Electric Bike,0,Within SLA,Long Distance
320,1106,118,Pending,27.53,32,62,28.83,Electric Scooter,0,Within SLA,Long Distance
321,352,470,Cancelled,3.78,58,47,21.08,Motorcycle,11,Breached,Short Distance
322,379,326,Delivered,4.67,52,38,49.61,Moped,14,Breached,Short Distance
323,1369,338,On the way,14.5,51,54,48.4,Moped,0,Within SLA,Medium Distance
