order_id,customer_id,restaurant_id,order_date,delivery_time,order_status,total_amount,payment_mode,feedback_rating,total_fulfillment_minutes,discount_applied
89,148,1,10-04-2024 13:22,10-04-2024 14:15,Delivered,3452.23,Cash,2.25,53,12.86
90,122,28,26-11-2023 20:21,26-11-2023 20:59,Delivered,480.38,Credit Card,1.65,38,15.02
91,488,32,28-04-2025 04:15,28-04-2025 05:13,Delivered,4219.43,Cash,1.05,58,24.27
92,298,61,30-03-2024 08:45,30-03-2024 09:32,Pending,1584.62,UPI,4.87,47,19.3
93,166,190,23-01-2024 21:11,23-01-2024 22:30,Pending,2619.32,Credit Card,1.39,79,46.85
94,243,91,06-06-2025 08:04,06-06-2025 09:08,Pending,228.46,UPI,4.4,64,38.99
95,67,181,05-03-2024 10:38,05-03-2024 11:39,Pending,2763.44,Cash,4.98,61,44.1
96,378,179,15-10-2023 22:32,15-10-2023 23:32,Cancelled,2317.13,Credit Card,2.24,60,21.71
97,478,196,14-10-2023 09:11,14-10-2023 09:43,Delivered,4342.45,Cash,3.37,32,31.88
98,396,92,05-08-2024 04:36,05-08-2024 05:16,Pending,1624.75,UPI,0.24,40,27.98
99,204,68,28-07-2024 18:44,28-07-2024 19:35,Pending,4683.28,Cash,1.9,51,28.1
100,107,121,21-05-2025 22:55,21-05-2025 23:50,Delivered,1718,Credit Card,0.79,55,27.71
101,362,191,20-01-2025 14:19,20-01-2025 14:49,Cancelled,4949.62,Cash,4.06,30,23.16
102,134,181,14-08-2023 12:09,14-08-2023 13:00,Pending,4123.27,Credit Card,0.48,51,46.95
103,189,179,14-10-2023 12:00,14-10-2023 13:02,Cancelled,360.02,Cash,3.39,62,46.49
104,99,16,29-03-2025 18:33,29-03-2025 19:05,Pending,4324.81,Credit Card,4.84,32,45.7
105,497,38,19-10-2023 07:07,19-10-2023 07:42,Delivered,1762.06,Credit Card,0.57,35,11.98
106,315,168,28-07-2023 18:22,28-07-2023 19:31,Cancelled,4335.55,UPI,4.63,69,27.67
107,106,26,25-06-2024 12:53,25-06-2024 13:51,Pending,768.31,Cash,2.47,58,41.02
108,159,46,27-03-2025 23:57,28-03-2025 01:09,Pending,4798.07,Credit Card,2.67,72,11.18
109,415,170,09-05-2024 05:25,09-05-2024 06:45,Pending,4497.98,Credit Card,2.54,80,20.17
110,153,91,12-09-2024 16:46,12-09-2024 17:24,Cancelled,4906.29,Cash,1.33,38,0.67
111,202,91,02-09-2024 15:43,02-09-2024 16:30,Pending,2393.06,UPI,4.15,47,3.68
112,227,84,01-07-2024 05:39,01-07-2024 06:18,Delivered,2619.48,UPI,3.25,39,14.94
113,61,53,16-10-2024 01:42,16-10-2024 02:14,Pending,3949.95,Cash,3.13,32,15.21
114,209,60,04-04-2024 18:38,04-04-2024 19:21,Delivered,2365.68,Cash,3.77,43,47.76
115,267,136,16-01-2024 03:41,16-01-2024 04:14,Cancelled,2972.65,Cash,4.39,33,22.25
116,167,36,16-07-2023 02:02,16-07-2023 02:36,Delivered,996.66,Cash,3.45,34,13
117,456,1,19-07-2023 15:23,19-07-2023 16:30,Delivered,2000.2,UPI,1.12,67,21.47
118,327,20,09-01-2025 15:20,09-01-2025 16:31,Delivered,3674.41,Credit Card,1.21,71,13.15
119,121,112,02-01-2024 03:07,02-01-2024 03:39,Delivered,3759.4,UPI,1.4,32,32.78
120,254,80,08-04-2024 00:32,08-04-2024 02:02,Pending,4156.08,Cash,3.53,90,45.43
121,260,166,22-10-2023 00:37,22-10-2023 01:55,Delivered,4726.41,Cash,4.11,78,8.81
122,135,151,18-04-2024 23:03,19-04-2024 00:12,Pending,1221.67,Credit Card,2.47,69,28.77
123,88,196,27-12-2024 14:58,27-12-2024 16:02,Pending,4449.36,Cash,1.8,64,26.04
124,258,103,05-05-2025 15:25,05-05-2025 16:14,Pending,4285.55,Credit Card,4.07,49,13.61
125,249,159,22-04-2025 10:23,22-04-2025 11:23,Pending,3157.83,Credit Card,4.48,60,48.71
126,91,142,12-12-2024 23:54,13-12-2024 00:52,Cancelled,2130.61,UPI,3.4,58,41.45
127,67,180,30-10-2024 12:56,30-10-2024 14:19,Delivered,3545.96,Credit Card,2.21,83,8.66
128,232,74,03-09-2024 01:39,03-09-2024 02:40,Cancelled,2317.21,Credit Card,0.39,61,11.14
129,179,43,28-12-2023 10:48,28-12-2023 11:27,Pending,1733.39,Credit Card,1.11,39,29.27
130,417,192,21-11-2024 00:20,21-11-2024 01:43,Delivered,4008.85,Credit Card,2.01,83,2.42
131,239,160,07-08-2023 00:18,07-08-2023 01:47,Cancelled,3492.94,UPI,3.49,89,12.3
132,144,21,14-09-2023 00:18,14-09-2023 01:30,Cancelled,70.79,Credit Card,4,72,29.86
133,288,128,01-02-2024 19:50,01-02-2024 20:24,Pending,777.65,Credit Card,0.6,34,46.42
134,492,30,25-10-2023 01:32,25-10-2023 02:32,Delivered,154.53,UPI,0.14,60,29.78
135,426,77,12-03-2024 20:45,12-03-2024 21:46,Delivered,1257.05,UPI,0.64,61,4.01
136,476,2,16-11-2023 23:55,17-11-2023 00:46,Delivered,1890.38,Cash,2.54,51,40.25
137,331,127,29-08-2023 08:59,29-08-2023 10:29,Cancelled,2589.79,Credit Card,4.55,90,25.47
138,54,177,25-12-2024 08:22,25-12-2024 09:24,Cancelled,2457.58,Credit Card,4.85,62,16.81
139,83,24,12-08-2023 19:28,12-08-2023 20:24,Delivered,1615.52,UPI,4.74,56,20.43
140,294,117,21-06-2024 06:08,21-06-2024 06:48,Delivered,21.54,Cash,0.52,40,21.54
141,411,108,14-10-2023 20:12,14-10-2023 20:58,Pending,3607.57,Credit Card,0.18,46,12.25
142,35,142,16-04-2025 17:01,16-04-2025 17:57,Delivered,4668.9,Cash,0.28,56,4.59
143,25,24,23-11-2024 00:43,23-11-2024 01:14,Pending,3183.88,Cash,0.58,31,19.46
144,446,141,21-04-2025 21:50,21-04-2025 23:00,Pending,215.29,Cash,4.28,70,27.02
145,134,13,29-06-2025 11:54,29-06-2025 12:48,Cancelled,3175.13,Credit Card,4.59,54,20.44
146,189,106,24-03-2024 15:17,24-03-2024 15:51,Pending,2959.8,Cash,2.2,34,44.45
147,286,16,08-12-2023 17:34,08-12-2023 18:28,Delivered,2823.74,Cash,1.36,54,32.64
148,196,64,15-01-2024 12:34,15-01-2024 13:27,Pending,3531.53,UPI,2.78,53,48.37
149,328,142,16-03-2025 14:29,16-03-2025 15:16,Delivered,3417.3,Credit Card,1.97,47,18.16
150,470,50,23-11-2024 03:40,23-11-2024 04:33,Pending,951.38,UPI,1.12,53,8.02
151,185,176,11-07-2024 04:59,11-07-2024 06:14,Delivered,3334.69,Credit Card,0.44,75,16.49
152,222,26,22-01-2024 10:31,22-01-2024 11:28,Cancelled,1562.25,UPI,2.72,57,15.05
153,414,63,15-08-2023 21:31,15-08-2023 22:31,Cancelled,1891.04,UPI,4.36,60,5.63
154,319,111,06-11-2023 03:02,06-11-2023 03:35,Delivered,2988.95,Credit Card,1.06,33,18.09
155,317,18,19-07-2024 05:31,19-07-2024 06:25,Delivered,3901.29,Credit Card,3.56,54,25.38
156,451,166,07-12-2024 09:50,07-12-2024 11:01,Cancelled,4132.4,Credit Card,2.95,71,1.58
157,157,93,13-05-2024 19:37,13-05-2024 20:42,Pending,730.01,Credit Card,2.66,65,18.14
158,81,122,24-10-2024 06:57,24-10-2024 07:59,Delivered,2809.22,UPI,2.09,62,49.56
159,420,192,14-09-2023 06:53,14-09-2023 07:38,Delivered,1871.1,Cash,1.94,45,47.61
160,170,157,26-10-2023 06:25,26-10-2023 07:45,Delivered,439.04,UPI,3.14,80,14.49
161,58,2,26-05-2025 19:24,26-05-2025 20:49,Cancelled,741.44,Cash,0.7,85,11.56
162,229,154,01-07-2024 19:55,01-07-2024 21:03,Cancelled,1534.98,UPI,0.21,68,33.97
163,316,5,25-10-2024 18:35,25-10-2024 20:04,Pending,976.57,UPI,2.01,89,28.26
164,333,3,15-02-2024 21:24,15-02-2024 22:32,Delivered,1811.18,UPI,0.86,68,3.46
165,249,159,06-02-2024 13:48,06-02-2024 15:08,Cancelled,3774.69,Cash,0.15,80,23.22
166,328,153,20-11-2023 12:29,20-11-2023 13:19,Delivered,913.56,UPI,3.15,50,8.02
167,300,70,15-01-2025 16:54,15-01-2025 18:07,Delivered,3737.94,Cash,3.52,73,23.39
168,487,157,01-11-2023 14:43,01-11-2023 15:57,Pending,2135.5,Credit Card,2.8,74,12.23
169,444,87,08-06-2025 17:23,08-06-2025 18:39,Cancelled,2909.1,UPI,0.55,76,4.44
170,464,119,27-05-2024 15:40,27-05-2024 17:05,Delivered,1521.27,Credit Card,0.13,85,8.23
171,227,7,23-02-2025 19:44,23-02-2025 20:22,Delivered,1401.14,UPI,0.26,38,48.95
172,124,24,12-03-2025 17:09,12-03-2025 17:59,Pending,3405.03,Cash,3.31,50,21.2
173,212,37,18-11-2023 19:22,18-11-2023 20:18,Cancelled,1483.28,Cash,0.21,56,15.47
174,240,20,23-08-2023 19:34,23-08-2023 20:39,Cancelled,94.1,Cash,2.13,65,42.6
175,350,147,28-09-2023 00:39,28-09-2023 02:01,Cancelled,1258.82,Cash,3.82,82,16.47
176,51,190,12-12-2024 22:52,12-12-2024 23:56,Delivered,3162.7,Cash,0.41,64,11.82
177,345,134,30-11-2023 13:37,30-11-2023 15:00,Pending,2262.29,Cash,0.47,83,25.32
178,439,65,03-08-2023 14:21,03-08-2023 15:46,Delivered,4862.83,UPI,3.64,85,18.51
179,183,86,03-01-2025 20:50,03-01-2025 21:40,Pending,1802.57,UPI,0.4,50,25.17
180,22,7,11-02-2024 12:29,11-02-2024 13:54,Cancelled,2748.86,UPI,2.5,85,47.4
181,357,62,29-01-2024 15:25,29-01-2024 16:55,Pending,4332.63,UPI,4.26,90,25.19
182,222,136,13-11-2023 17:20,13-11-2023 18:11,Delivered,2382.46,UPI,1.22,51,47.18
183,290,65,02-06-2024 08:43,02-06-2024 10:11,Delivered,2684.79,Credit Card,1.45,88,25.12
184,354,93,10-06-2024 17:26,10-06-2024 18:03,Pending,868.69,Credit Card,4.51,37,48.79
185,129,14,17-07-2024 06:04,17-07-2024 06:54,Pending,1592.83,UPI,0.86,50,34.97
186,389,25,23-02-2024 05:35,23-02-2024 06:43,Cancelled,944.17,UPI,4.26,68,4.95
187,150,159,22-08-2024 22:59,22-08-2024 23:29,Delivered,823.38,UPI,2.09,30,1.6
188,56,190,24-04-2025 15:09,24-04-2025 16:26,Delivered,272.63,Cash,2.95,77,28.57
189,403,34,15-02-2024 23:41,16-02-2024 00:31,Pending,4396.23,Credit Card,2.99,50,46.41
190,78,148,06-08-2024 03:13,06-08-2024 03:49,Pending,1913.96,Credit Card,1.02,36,40.92
191,104,117,21-12-2023 16:36,21-12-2023 17:41,Pending,63.02,UPI,2.58,65,39.71
192,487,164,14-03-2025 14:39,14-03-2025 15:55,Cancelled,765.36,UPI,0.32,76,28.08
193,74,71,22-09-2024 15:17,22-09-2024 16:08,Cancelled,1578.23,Credit Card,2.82,51,35.68
194,227,178,03-10-2023 15:50,03-10-2023 17:07,Delivered,2169.89,Credit Card,0.95,77,9.87
195,188,100,22-01-2025 18:39,22-01-2025 19:48,Pending,4962.79,Credit Card,4.38,69,18.77
196,29,159,22-04-2025 00:41,22-04-2025 01:56,Delivered,3228.35,UPI,2.68,75,42.7
197,263,140,21-10-2023 20:18,21-10-2023 21:20,Delivered,1462.23,Credit Card,0.98,62,49.97
198,91,142,28-10-2023 07:53,28-10-2023 09:17,Cancelled,312.87,UPI,4.62,84,3.11
199,181,176,14-08-2023 18:31,14-08-2023 19:52,Delivered,4261.42,Credit Card,2.89,81,26.83
200,314,32,07-05-2025 11:14,07-05-2025 12:13,Delivered,4661.42,Cash,3.27,59,8.12
201,288,115,09-03-2024 00:20,09-03-2024 01:49,Cancelled,2310.97,UPI,0.16,89,16.31
202,150,176,12-10-2024 04:05,12-10-2024 05:01,Cancelled,73.38,Cash,2.05,56,28.61
203,144,168,05-11-2023 04:41,05-11-2023 06:04,Pending,744.34,Credit Card,4.82,83,27.53
204,7,95,26-06-2025 03:39,26-06-2025 04:28,Pending,268.94,Credit Card,2.41,49,45.67
205,5,95,25-07-2024 03:10,25-07-2024 03:51,Pending,4720.23,Credit Card,3.42,41,17.82
206,430,138,04-05-2024 07:04,04-05-2024 07:59,Cancelled,628.91,Credit Card,2.04,55,19.31
207,404,13,31-08-2023 11:33,31-08-2023 12:32,Delivered,378.63,Credit Card,1.21,59,13.28
208,110,118,10-07-2025 08:34,10-07-2025 09:56,Cancelled,786.05,UPI,2.35,82,15.72
209,98,52,15-07-2024 19:37,15-07-2024 21:03,Delivered,1529.84,Credit Card,1.71,86,45.29
210,302,120,03-07-2025 08:53,03-07-2025 09:40,Delivered,1508.12,UPI,2.54,47,46.94
211,181,196,15-03-2025 11:54,15-03-2025 12:31,Cancelled,2352.1,Credit Card,3.18,37,5.45
212,240,16,30-04-2025 08:16,30-04-2025 09:08,Delivered,4942.07,Cash,0.39,52,41.55
213,75,101,18-11-2023 13:55,18-11-2023 14:42,Delivered,488.77,Cash,4.34,47,14.34
214,167,21,30-06-2024 13:26,30-06-2024 14:47,Pending,1941.41,Credit Card,2.69,81,48.75
215,462,183,07-03-2024 11:26,07-03-2024 12:40,Cancelled,988.37,Credit Card,3.69,74,45.99
216,41,120,20-12-2023 21:37,20-12-2023 22:58,Delivered,1219.65,Cash,0.59,81,23.39
217,144,69,15-07-2024 18:01,15-07-2024 19:27,Delivered,1185.39,UPI,3.25,86,43.77
218,76,27,28-07-2023 04:27,28-07-2023 05:27,Cancelled,3663.63,Cash,3.03,60,23.9
219,324,105,21-04-2025 18:53,21-04-2025 20:06,Cancelled,4019.37,UPI,0.05,73,3.36
220,324,39,25-12-2024 08:08,25-12-2024 09:25,Pending,1669.04,UPI,4.51,77,4.33
221,14,133,24-02-2024 00:11,24-02-2024 00:56,Cancelled,2847.57,UPI,0.96,45,47.66
222,325,194,19-08-2024 00:36,19-08-2024 01:51,Delivered,1448.55,Credit Card,0.35,75,32.51
223,358,130,28-10-2023 02:29,28-10-2023 03:46,Delivered,3744.27,Credit Card,1.39,77,21.85
224,364,45,01-12-2023 00:31,01-12-2023 01:03,Delivered,2321.89,Credit Card,2.87,32,19.95
225,425,115,07-11-2024 19:36,07-11-2024 20:47,Delivered,1980.39,Credit Card,3.7,71,30.06
226,379,116,02-08-2023 03:22,02-08-2023 04:34,Pending,1695.71,Credit Card,3.76,72,37.71
227,3,50,13-06-2024 18:46,13-06-2024 19:41,Delivered,4466.51,Cash,0.33,55,10.12
228,478,156,19-11-2024 03:32,19-11-2024 04:28,Pending,3210.98,Credit Card,4.29,56,0.13
229,77,34,25-08-2024 06:51,25-08-2024 07:43,Cancelled,2663.3,UPI,3.25,52,32.65
230,411,135,20-04-2024 05:57,20-04-2024 07:20,Cancelled,4686.88,UPI,3.29,83,46.45
231,275,178,04-02-2025 03:07,04-02-2025 03:40,Pending,2102.08,Cash,3.79,33,36.29
232,314,16,14-02-2024 07:04,14-02-2024 07:57,Delivered,3825.98,Credit Card,3.47,53,12.69
233,465,166,17-02-2024 15:32,17-02-2024 16:22,Pending,4429.59,UPI,1.53,50,16.4
234,73,25,19-05-2024 05:08,19-05-2024 06:13,Pending,924.9,Cash,1.04,65,11.61
235,455,121,28-11-2024 19:56,28-11-2024 20:34,Cancelled,4268.98,UPI,1.91,38,22.44
236,412,196,19-05-2024 02:02,19-05-2024 03:26,Cancelled,4883.69,UPI,0.95,84,26.38
237,250,102,28-01-2025 08:25,28-01-2025 08:57,Pending,1392.59,Credit Card,4.32,32,29
238,290,23,16-07-2023 19:13,16-07-2023 20:13,Delivered,4788.41,Cash,1.63,60,42.97
239,259,124,16-07-2024 01:04,16-07-2024 02:02,Pending,3030.72,Cash,0.51,58,6.5
240,365,36,12-11-2024 17:52,12-11-2024 18:42,Cancelled,3742.87,UPI,1.34,50,18.54
241,92,116,13-02-2025 11:52,13-02-2025 12:51,Cancelled,2360.43,Cash,3.22,59,6.45
242,427,45,15-06-2025 11:11,15-06-2025 11:46,Pending,3810.78,UPI,4.7,35,5.59
243,251,142,08-12-2024 06:25,08-12-2024 07:47,Cancelled,4118.66,UPI,1.44,82,36.5
244,21,155,26-09-2023 17:16,26-09-2023 18:25,Cancelled,3117.32,UPI,2.21,69,35.43
245,176,60,11-06-2024 22:28,11-06-2024 23:29,Delivered,1486.89,UPI,2.76,61,11.43
246,241,1,18-12-2023 12:30,18-12-2023 13:44,Pending,1179.32,UPI,3.88,74,22.36
247,72,54,26-04-2025 14:40,26-04-2025 16:09,Pending,4986.07,Cash,3.67,89,41.69
248,215,148,01-05-2025 23:54,02-05-2025 01:21,Delivered,494.62,Credit Card,2.1,87,15.53
249,51,86,25-02-2024 13:11,25-02-2024 14:22,Cancelled,2675.91,Cash,4.39,71,47.11
250,483,91,03-12-2023 04:21,03-12-2023 04:51,Pending,2379.73,Credit Card,0.56,30,45.02
251,151,198,24-09-2024 21:22,24-09-2024 22:27,Delivered,1271.63,Cash,2.44,65,40.3
252,385,109,25-07-2024 02:29,25-07-2024 03:34,Delivered,4234.69,UPI,2.69,65,26.21
253,88,190,05-04-2024 01:06,05-04-2024 01:38,Pending,716.2,UPI,3.28,32,11.53
254,87,195,26-09-2023 13:24,26-09-2023 14:32,Delivered,1311.54,UPI,1.77,68,22.84
255,158,125,18-07-2024 19:58,18-07-2024 21:26,Pending,318.75,Credit Card,2.56,88,6.8
256,360,17,07-08-2023 15:25,07-08-2023 16:54,Delivered,1047.24,UPI,0.84,89,6.02
257,155,23,29-01-2025 21:55,29-01-2025 23:14,Cancelled,3189.95,Credit Card,1.46,79,44.11
258,128,151,30-07-2023 05:12,30-07-2023 06:42,Delivered,759.13,UPI,3.85,90,43
259,422,76,30-08-2024 00:37,30-08-2024 01:42,Delivered,1766.63,Cash,0.75,65,25.63
260,316,147,20-01-2025 07:48,20-01-2025 08:36,Delivered,4792.02,Credit Card,3.78,48,36.26
261,27,94,14-04-2025 03:37,14-04-2025 04:59,Delivered,2826.03,Credit Card,0.73,82,29.58
262,162,163,27-11-2024 23:07,27-11-2024 23:53,Cancelled,4890.49,Credit Card,2.81,46,1.95
263,34,185,08-02-2024 21:19,08-02-2024 22:02,Delivered,688.8,Cash,3.58,43,19.19
264,129,18,13-12-2024 19:31,13-12-2024 20:20,Delivered,376.11,UPI,2.84,49,40.14
